hex_id,y_mean_kcal_ha,count,proj_x,proj_y,lon,lat
13441.0,9761181696.0,1895.0,1193093.4448360526,804977.6665292569,11.952107389104642,6.515784162730869
13442.0,8843804672.0,1857.0,1193093.4448360526,954977.6665292569,11.971701672464476,7.73255139747011
13443.0,4120105472.0,1858.0,1193093.4448360526,1104977.6665292569,11.994758844398294,8.950663496091027
13444.0,2355638528.0,1857.0,1193093.4448360526,1254977.6665292569,12.021338378040427,10.170338853595698
13445.0,1996708352.0,1858.0,1193093.4448360526,1404977.6665292569,12.051509588682302,11.39179907564759
13446.0,584226496.0,1856.0,1193093.4448360526,1554977.6665292569,12.085352147797478,12.615269473617506
13447.0,0.0,1895.0,1193093.4448360526,1704977.6665292569,12.122956684758746,13.840979583802667
13448.0,0.0,1856.0,1193093.4448360526,1854977.6665292569,12.16442548540675,15.069163714722768
13449.0,0.0,1858.0,1193093.4448360526,2004977.6665292569,12.209873298381561,16.300061526791062
13450.0,0.0,1856.0,1193093.4448360526,2154977.666529257,12.259428262171218,17.533918649125436
13451.0,0.0,1857.0,1193093.4448360526,2304977.666529257,12.31323296822991,18.770987338815292
13452.0,0.0,1856.0,1193093.4448360526,2454977.666529257,12.371445678354275,20.01152718861002
13453.0,0.0,1894.0,1193093.4448360526,2604977.666529257,12.434241717879182,21.2558058897608
13454.0,0.0,1857.0,1193093.4448360526,2754977.666529257,12.501815070288965,22.504100057650756
13455.0,0.0,1858.0,1193093.4448360526,2904977.666529257,12.574380203692654,23.75669612891687
13456.0,0.0,1858.0,1193093.4448360526,3054977.666529257,12.652174165478899,25.0138913400307
13457.0,0.0,1857.0,1193093.4448360526,3204977.666529257,12.735458988597896,26.275994798805765
13458.0,0.0,1857.0,1193093.4448360526,3354977.666529257,12.824524461631595,27.54332866208728
13459.0,0.0,1856.0,1193093.4448360526,3504977.666529257,12.919691325518441,28.81622943501438
13460.0,0.0,1893.0,1193093.4448360526,3654977.666529257,13.021314973022243,30.095049409807704
13461.0,974041.375,1856.0,1193093.4448360526,3804977.666529257,13.129789743461998,31.38015826512008
13462.0,981354496.0,1138.0,1193093.4448360526,3954977.666529257,13.245553925747757,32.67194485072261
13464.0,6823020544.0,5.0,1193093.4448360526,4254977.666529257,13.50095954933567,35.277214712987174
13465.0,7249276416.0,153.0,1193093.4448360526,4404977.666529257,13.641755274794527,36.591590828023136
13466.0,7728446464.0,1100.0,1193093.4448360526,4554977.666529257,13.792166680272237,37.91443577149043
13468.0,7041899520.0,608.0,1193093.4448360526,4854977.666529257,14.1250148143005,40.58764948077952
